no;schedule;start_date;type;pid;level;activity;duration(menit);status;end_date;task;phase
1;Unplanned;10/02/2023;Project;052/BBTN/SIP/VI/2022;D;Confirm ransomeware to paloalto;90;Done;10/02/2023;Corrective;[MSM] Project
;Unplanned;10/02/2023;Project;052/BBTN/SIP/VI/2022;C;meeting topology and improvement paloalto with paloalto;180;Done;10/02/2023;Corrective;[MSM] Project
;Unplanned;10/02/2023;Project;052/BBTN/SIP/VI/2022;C;revisi topology;180;Done;10/02/2023;Corrective;[MSM] Project
;Unplanned;10/02/2023;Project;052/BBTN/SIP/VI/2022;C;check ransomeware blacksuite paloalto;60;Done;10/02/2023;Corrective;[MSM] Project
;Unplanned;10/02/2023;Project;052/BBTN/SIP/VI/2022;C;check routing wan;60;Done;10/02/2023;Corrective;[MSM] Project
;Unplanned;10/03/2023;Project;052/BBTN/SIP/VI/2022;C;create policy bifast;60;Done;10/03/2023;Corrective;[MSM] Project
;Unplanned;10/03/2023;Project;052/BBTN/SIP/VI/2022;C;relocation routing sdwan;30;Done;10/03/2023;Corrective;[MSM] Project
;Unplanned;10/05/2023;Project;052/BBTN/SIP/VI/2022;C;koordinasi internal report BTN;120;Done;10/05/2023;Corrective;[MSM] Project
;Unplanned;10/05/2023;Project;052/BBTN/SIP/VI/2022;C;collect report CM;60;Done;10/05/2023;Corrective;[MSM] Project
;Unplanned;10/06/2023;Project;052/BBTN/SIP/VI/2022;C;create policyjumphost ntt snow;60;Done;10/06/2023;Corrective;[MSM] Project
;Unplanned;10/06/2023;Project;052/BBTN/SIP/VI/2022;C;checking monitoring DDOS;30;Done;10/06/2023;Corrective;[MSM] Project
;Unplanned;10/07/2023;Project;052/BBTN/SIP/VI/2022;D;koordinasi blacksuite;60;Done;10/07/2023;Corrective;[MSM] Project
;Unplanned;10/11/2023;Project;052/BBTN/SIP/VI/2022;B;configure mail alert;180;Done;10/11/2023;Corrective;[MSM] Project
;Unplanned;10/11/2023;Project;052/BBTN/SIP/VI/2022;C;create report ransomewareWAN;180;Done;10/11/2023;Corrective;[MSM] Project
;Unplanned;10/11/2023;Project;052/BBTN/SIP/VI/2022;C;add routing to sdwan;60;Done;10/11/2023;Corrective;[MSM] Project
;Unplanned;10/12/2023;Project;052/BBTN/SIP/VI/2022;C;add routing to sdwan;60;Done;10/12/2023;Corrective;[MSM] Project
;Unplanned;10/13/2023;Project;052/BBTN/SIP/VI/2022;D;review report blacksuite;60;Done;10/13/2023;Corrective;[MSM] Project
;Unplanned;10/17/2023;Project;052/BBTN/SIP/VI/2022;C;add routing MKK mataram;60;Done;10/17/2023;Corrective;[MSM] Project
;Unplanned;10/17/2023;Project;052/BBTN/SIP/VI/2022;C;add policy DHCP pool Sentul;60;Done;10/17/2023;Corrective;[MSM] Project
;Unplanned;10/18/2023;Project;052/BBTN/SIP/VI/2022;C;relocation routing mataram ;60;Done;10/18/2023;Corrective;[MSM] Project
;Unplanned;10/19/2023;Project;052/BBTN/SIP/VI/2022;C;check bloking ip;30;Done;10/19/2023;Corrective;[MSM] Project
;Unplanned;10/20/2023;Project;052/BBTN/SIP/VI/2022;C;So core banking;480;Done;10/20/2023;Corrective;[MSM] Project
;Unplanned;10/21/2023;Project;052/BBTN/SIP/VI/2022;C;SB core banking;480;Done;10/21/2023;Corrective;[MSM] Project
;Unplanned;10/26/2023;Project;052/BBTN/SIP/VI/2022;B;Solving Akses ke GCP;180;Done;10/26/2023;Corrective;[MSM] Project
